Code,Date,Open,Close,High,Low,Volume,Amount,Amplitude,RF_Rate,RF_Amt,Turnover
600000.sh,20100104,61.55,59.8,61.66,59.72,661913,1419984112.0,3.17,-2.24,-1.37,0.84
600000.sh,20100105,60.4,60.24,60.87,58.71,1151479,2436890938.0,3.61,0.74,0.44,1.45
600000.sh,20100106,60.08,59.09,60.1,58.96,967826,2034174032.0,1.89,-1.91,-1.15,1.22
600000.sh,20100107,58.96,57.81,59.39,57.37,852361,1761800969.0,3.42,-2.17,-1.28,1.08
600000.sh,20100108,57.48,58.44,58.74,57.37,657076,1349532409.0,2.37,1.09,0.63,0.83
600000.sh,20100111,60.92,58.44,61.47,58.11,1163048,2456819007.0,5.75,0.0,0.0,1.47
600000.sh,20100112,58.27,58.74,59.2,57.26,823511,1691919888.0,3.32,0.51,0.3,1.04
600000.sh,20100113,57.24,56.09,57.51,56.01,1463997,2930936726.0,2.55,-4.51,-2.65,1.85
600000.sh,20100114,56.2,56.47,56.61,55.57,773408,1535655470.0,1.85,0.68,0.38,0.98
600000.sh,20100115,56.61,56.66,57.24,55.79,691837,1384564649.0,2.57,0.34,0.19,0.87
600000.sh,20100118,56.31,57.21,57.35,56.2,699402,1408342623.0,2.03,0.97,0.55,0.88
600000.sh,20100119,57.24,57.51,58.16,57.13,699661,1428370744.0,1.8,0.52,0.3,0.88
600000.sh,20100120,57.7,55.98,58.0,55.46,807765,1612704739.0,4.42,-2.66,-1.53,1.02
600000.sh,20100121,56.23,57.84,58.11,55.9,934182,1888959519.0,3.95,3.32,1.86,1.18
600000.sh,20100122,57.1,59.01,59.56,56.58,1544460,3188523865.0,5.15,2.02,1.17,1.95
600000.sh,20100125,58.08,57.81,59.23,57.7,802327,1658596995.0,2.59,-2.03,-1.2,1.01
600000.sh,20100126,57.89,58.44,59.01,57.02,919366,1885519209.0,3.44,1.09,0.63,1.16
600000.sh,20100127,58.38,56.17,58.74,55.95,942644,1898605119.0,4.77,-3.88,-2.27,1.19
600000.sh,20100128,55.95,55.73,56.14,54.86,586917,1152620124.0,2.28,-0.78,-0.44,0.74
600000.sh,20100129,55.46,55.52,56.66,55.13,536901,1062334288.0,2.75,-0.38,-0.21,0.68
600000.sh,20100201,55.52,54.42,55.52,53.82,516694,994322854.0,3.06,-1.98,-1.1,0.65
600000.sh,20100202,54.72,54.48,55.73,54.29,489696,951736982.0,2.65,0.11,0.06,0.62
600000.sh,20100203,54.67,56.25,56.36,53.85,764931,1499985351.0,4.61,3.25,1.77,0.97
600000.sh,20100204,55.49,55.63,56.25,55.46,461621,909308990.0,1.4,-1.1,-0.62,0.58
600000.sh,20100205,54.37,54.97,55.68,54.26,438960,850183267.0,2.55,-1.19,-0.66,0.55
600000.sh,20100208,55.05,54.42,55.19,54.04,372310,716731662.0,2.09,-1.0,-0.55,0.47
600000.sh,20100209,54.37,54.97,55.16,54.29,264962,513741764.0,1.6,1.01,0.55,0.33
600000.sh,20100210,55.43,55.68,55.87,55.19,307095,602686038.0,1.24,1.29,0.71,0.39
600000.sh,20100211,55.71,55.57,56.01,55.43,273755,538434170.0,1.04,-0.2,-0.11,0.35
600000.sh,20100212,55.82,56.03,56.23,55.63,296825,587217269.0,1.08,0.83,0.46,0.37
600000.sh,20100222,55.82,55.68,56.17,55.41,334307,659002500.0,1.36,-0.62,-0.35,0.42
600000.sh,20100223,55.6,55.16,55.6,54.51,305709,593524963.0,1.96,-0.93,-0.52,0.39
600000.sh,20100224,54.78,55.63,55.68,54.48,389784,758532890.0,2.18,0.85,0.47,0.49
600000.sh,20100225,55.87,58.57,58.74,55.87,1944760,3998875321.0,5.16,5.28,2.94,2.45
600000.sh,20100311,59.28,60.1,61.47,59.01,2302718,4943091130.0,4.2,2.61,1.53,2.91
600000.sh,20100312,60.16,59.39,60.7,59.34,749118,1595763943.0,2.26,-1.18,-0.71,0.95
600000.sh,20100315,59.28,58.41,59.69,58.14,581273,1208927247.0,2.61,-1.65,-0.98,0.73
600000.sh,20100316,58.27,59.8,59.83,57.95,563430,1176059947.0,3.22,2.38,1.39,0.71
600000.sh,20100317,59.91,61.11,61.33,59.15,907404,1945888211.0,3.65,2.19,1.31,1.14
600000.sh,20100318,61.09,61.19,62.59,60.78,889838,1948256914.0,2.96,0.13,0.08,1.12
600000.sh,20100319,61.52,61.47,62.12,60.65,447567,974278040.0,2.4,0.46,0.28,0.56
600000.sh,20100322,61.6,62.59,62.97,61.6,966360,2147457185.0,2.23,1.82,1.12,1.22
600000.sh,20100323,62.7,62.01,63.19,61.71,625663,1386852319.0,2.36,-0.93,-0.58,0.79
600000.sh,20100324,62.15,62.1,63.08,62.01,510929,1134210263.0,1.73,0.15,0.09,0.64
600000.sh,20100325,61.9,60.95,61.9,60.54,525123,1139337600.0,2.19,-1.85,-1.15,0.66
600000.sh,20100326,60.7,62.72,63.41,60.7,824978,1834668501.0,4.45,2.9,1.77,1.04
600000.sh,20100329,63.24,64.69,65.07,62.86,1394993,3200058576.0,3.52,3.14,1.97,1.76
600000.sh,20100331,64.93,64.14,64.99,63.92,542014,1237976726.0,1.65,-0.85,-0.55,0.68
600000.sh,20100401,64.12,64.33,65.07,63.79,581792,1330514487.0,2.0,0.3,0.19,0.73
600000.sh,20100402,64.36,64.5,65.02,64.2,407775,934433179.0,1.27,0.26,0.17,0.51
600000.sh,20100406,64.88,64.72,65.78,64.5,538096,1243972016.0,1.98,0.34,0.22,0.68
600000.sh,20100407,64.74,64.14,64.96,63.49,506016,1150564457.0,2.27,-0.9,-0.58,0.64
600000.sh,20100408,63.38,63.6,64.66,63.38,468763,1063340620.0,2.0,-0.84,-0.54,0.59
600000.sh,20100409,63.65,64.58,64.8,63.62,383927,876658018.0,1.86,1.54,0.98,0.48
600000.sh,20100412,64.74,63.19,64.88,62.59,578956,1306221421.0,3.55,-2.15,-1.39,0.73
600000.sh,20100413,63.11,64.83,65.07,62.7,840639,1920139746.0,3.75,2.6,1.64,1.06
600000.sh,20100414,65.07,64.42,65.07,64.09,388655,889428485.0,1.51,-0.63,-0.41,0.49
600000.sh,20100415,64.63,64.12,64.69,63.35,423118,961485305.0,2.08,-0.47,-0.3,0.53
600000.sh,20100416,63.84,62.18,63.87,62.07,549648,1223884911.0,2.81,-3.03,-1.94,0.69
600000.sh,20100419,61.17,58.08,61.17,57.89,1232700,2578443261.0,5.28,-6.59,-4.1,1.56
600000.sh,20100420,58.05,58.03,58.46,56.55,638663,1299015756.0,3.29,-0.09,-0.05,0.81
600000.sh,20100421,57.81,58.9,58.98,57.35,557376,1148975017.0,2.81,1.5,0.87,0.7
600000.sh,20100422,58.44,57.07,58.44,56.77,696007,1410303098.0,2.84,-3.11,-1.83,0.88
600000.sh,20100423,57.1,57.62,58.87,56.42,837729,1704941913.0,4.29,0.96,0.55,1.06
600000.sh,20100426,57.7,57.81,58.71,57.15,461795,949350082.0,2.71,0.33,0.19,0.58
600000.sh,20100427,57.26,56.85,57.54,55.95,578343,1160690576.0,2.75,-1.66,-0.96,0.73
600000.sh,20100429,57.24,57.07,58.19,56.99,540963,1103099387.0,2.11,0.39,0.22,0.68
600000.sh,20100430,57.37,58.16,58.27,56.99,522657,1070286777.0,2.24,1.91,1.09,0.66
600000.sh,20100504,57.15,57.07,58.11,56.28,461705,933963133.0,3.15,-1.87,-1.09,0.58
600000.sh,20100505,56.42,57.4,57.51,55.65,547338,1092883258.0,3.26,0.58,0.33,0.69
600000.sh,20100506,56.83,53.93,56.83,53.82,746695,1455622741.0,5.24,-6.05,-3.47,0.94
