股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
600007.sh,20000104,7.05,7.21,7.21,6.88,6678,4689000.0,4.76,3.89,0.27,0.42
600007.sh,20000105,7.23,7.22,7.47,7.13,12218,8842000.0,4.72,0.14,0.01,0.76
600007.sh,20000106,7.15,7.58,7.6,7.12,15426,11198000.0,6.65,4.99,0.36,0.96
600007.sh,20000107,7.65,8.16,8.28,7.54,45389,35296000.0,9.76,7.65,0.58,2.84
600007.sh,20000110,8.22,8.19,8.3,7.93,44913,36143000.0,4.53,0.37,0.03,2.81
600007.sh,20000111,8.09,7.6,8.09,7.55,14834,11352000.0,6.59,-7.2,-0.59,0.93
600007.sh,20000112,7.58,7.31,7.7,7.3,14898,10963000.0,5.26,-3.82,-0.29,0.93
600007.sh,20000113,7.31,7.24,7.47,7.2,10007,7234000.0,3.69,-0.96,-0.07,0.63
600007.sh,20000114,7.26,7.15,7.4,7.1,8913,6323000.0,4.14,-1.24,-0.09,0.56
600007.sh,20000117,7.1,7.28,7.28,7.06,7392,5237000.0,3.08,1.82,0.13,0.46
600007.sh,20000118,7.38,7.35,7.55,7.28,12066,8853000.0,3.71,0.96,0.07,0.75
600007.sh,20000119,7.35,7.49,7.57,7.31,10736,7907000.0,3.54,1.9,0.14,0.67
600007.sh,20000120,7.51,7.65,7.74,7.45,15678,11751000.0,3.87,2.14,0.16,0.98
600007.sh,20000121,7.7,7.7,7.97,7.69,29503,22843000.0,3.66,0.65,0.05,1.84
600007.sh,20000124,7.75,7.51,7.75,7.29,23286,17074000.0,5.97,-2.47,-0.19,1.46
600007.sh,20000125,7.49,7.39,7.55,7.3,17350,12619000.0,3.33,-1.6,-0.12,1.08
600007.sh,20000126,7.39,7.43,7.55,7.3,8406,6164000.0,3.38,0.54,0.04,0.53
600007.sh,20000127,7.44,7.39,7.6,7.33,18772,13663000.0,3.63,-0.54,-0.04,1.17
600007.sh,20000128,7.41,7.54,7.55,7.26,31233,22686000.0,3.92,2.03,0.15,1.95
600007.sh,20000214,8.28,8.28,8.28,7.79,47009,37840000.0,6.5,9.81,0.74,2.94
600007.sh,20000215,8.45,8.43,9.1,8.28,66857,59017000.0,9.9,1.81,0.15,4.18
600007.sh,20000216,8.42,8.56,8.6,8.15,56305,46330000.0,5.34,1.54,0.13,3.52
600007.sh,20000217,8.88,8.7,9.4,8.4,143178,127206000.0,11.68,1.64,0.14,8.95
600007.sh,20000218,8.58,8.39,8.58,8.1,40153,33040000.0,5.52,-3.56,-0.31,2.51
600007.sh,20000221,8.41,9.22,9.22,8.4,146435,132289000.0,9.77,9.89,0.83,9.15
600007.sh,20000222,9.97,8.61,9.97,8.6,143531,131405000.0,14.86,-6.62,-0.61,8.97
600007.sh,20000223,8.5,8.42,8.76,8.3,41850,35179000.0,5.34,-2.21,-0.19,2.62
600007.sh,20000224,8.42,8.53,8.68,8.4,20283,17047000.0,3.33,1.31,0.11,1.27
600007.sh,20000225,8.55,8.38,8.59,8.31,25262,20996000.0,3.28,-1.76,-0.15,1.58
600007.sh,20000228,8.33,8.58,8.58,8.2,31497,26207000.0,4.53,2.39,0.2,1.97
600007.sh,20000229,8.7,8.78,9.1,8.5,54407,47470000.0,6.99,2.33,0.2,3.4
600007.sh,20000301,8.79,8.54,8.91,8.48,21157,17976000.0,4.9,-2.73,-0.24,1.32
600007.sh,20000302,8.5,8.5,8.6,8.4,23931,20036000.0,2.34,-0.47,-0.04,1.5
600007.sh,20000303,8.52,8.9,9.16,8.52,71488,62841000.0,7.53,4.71,0.4,4.47
600007.sh,20000306,9.0,8.49,9.05,8.4,31804,27414000.0,7.3,-4.61,-0.41,1.99
600007.sh,20000307,8.4,8.5,8.55,8.3,18597,15445000.0,2.94,0.12,0.01,1.16
600007.sh,20000308,8.51,8.64,8.75,8.39,20984,17814000.0,4.24,1.65,0.14,1.31
600007.sh,20000309,8.64,8.76,8.88,8.5,27496,23737000.0,4.4,1.39,0.12,1.72
600007.sh,20000310,8.76,8.47,8.89,8.45,18882,16079000.0,5.02,-3.31,-0.29,1.18
600007.sh,20000313,8.5,8.6,8.8,8.46,14831,12600000.0,4.01,1.53,0.13,0.93
600007.sh,20000314,8.51,8.42,8.51,8.25,26428,21848000.0,3.02,-2.09,-0.18,1.65
600007.sh,20000315,8.42,8.5,8.59,8.4,13525,11342000.0,2.26,0.95,0.08,0.85
600007.sh,20000316,8.5,8.01,8.5,7.91,19026,15409000.0,6.94,-5.76,-0.49,1.19
600007.sh,20000317,7.95,8.22,8.25,7.9,17228,13806000.0,4.37,2.62,0.21,1.08
600007.sh,20000320,8.1,8.37,8.49,7.98,15934,13071000.0,6.2,1.82,0.15,1.0
600007.sh,20000321,8.41,8.37,8.45,8.3,14309,11814000.0,1.79,0.0,0.0,0.89
600007.sh,20000322,8.37,8.39,8.5,8.3,16609,13759000.0,2.39,0.24,0.02,1.04
600007.sh,20000323,8.4,8.65,8.75,8.4,32743,27921000.0,4.17,3.1,0.26,2.05
600007.sh,20000324,8.7,8.52,8.9,8.52,33822,29190000.0,4.39,-1.5,-0.13,2.11
600007.sh,20000327,8.55,9.08,9.19,8.55,61214,54129000.0,7.51,6.57,0.56,3.83
600007.sh,20000328,9.15,8.98,9.2,8.81,37981,33770000.0,4.3,-1.1,-0.1,2.37
600007.sh,20000329,8.95,8.82,8.98,8.61,16925,14695000.0,4.12,-1.78,-0.16,1.06
600007.sh,20000330,8.82,9.11,9.15,8.7,60336,53693000.0,5.1,3.29,0.29,3.77
600007.sh,20000331,9.11,8.9,9.11,8.85,32681,28960000.0,2.85,-2.31,-0.21,2.04
600007.sh,20000403,8.85,8.81,9.0,8.7,27267,23897000.0,3.37,-1.01,-0.09,1.7
600007.sh,20000404,8.79,8.63,8.8,8.61,23740,20381000.0,2.16,-2.04,-0.18,1.48
600007.sh,20000405,8.55,8.53,8.7,8.46,16252,13762000.0,2.78,-1.16,-0.1,1.02
600007.sh,20000406,8.58,8.81,8.85,8.5,21065,18010000.0,4.1,3.28,0.28,1.32
600007.sh,20000407,8.84,9.17,9.29,8.75,56722,50821000.0,6.13,4.09,0.36,3.55
600007.sh,20000410,9.17,9.25,9.34,9.05,48407,44178000.0,3.16,0.87,0.08,3.03
600007.sh,20000411,9.25,8.98,9.25,8.95,25110,22526000.0,3.24,-2.92,-0.27,1.57
600007.sh,20000412,8.98,8.95,8.98,8.8,21766,19124000.0,2.0,-0.33,-0.03,1.36
600007.sh,20000413,8.9,9.22,9.28,8.87,30402,27285000.0,4.58,3.02,0.27,1.9
600007.sh,20000414,9.3,9.35,9.75,9.27,114287,107976000.0,5.21,1.41,0.13,7.14
600007.sh,20000417,9.35,9.08,9.5,9.0,38940,35360000.0,5.35,-2.89,-0.27,2.43
600007.sh,20000418,9.08,9.25,9.38,9.0,31818,29059000.0,4.19,1.87,0.17,1.99
600007.sh,20000419,9.25,9.29,9.55,9.25,35646,33144000.0,3.24,0.43,0.04,2.23
