Code,Date,Weight
300502.SZ,2024/9/30,1.338
002028.SZ,2024/9/30,0.66
600418.SH,2024/9/30,0.635
601058.SH,2024/9/30,0.612
002625.SZ,2024/9/30,0.546
002340.SZ,2024/9/30,0.531
688169.SH,2024/9/30,0.52
000988.SZ,2024/9/30,0.509
600066.SH,2024/9/30,0.508
601077.SH,2024/9/30,0.488
600988.SH,2024/9/30,0.487
601555.SH,2024/9/30,0.485
300394.SZ,2024/9/30,0.484
300207.SZ,2024/9/30,0.474
002384.SZ,2024/9/30,0.467
688777.SH,2024/9/30,0.461
000933.SZ,2024/9/30,0.459
601168.SH,2024/9/30,0.459
601162.SH,2024/9/30,0.441
600157.SH,2024/9/30,0.432
000630.SZ,2024/9/30,0.43
301236.SZ,2024/9/30,0.427
600096.SH,2024/9/30,0.421
601108.SH,2024/9/30,0.411
000423.SZ,2024/9/30,0.403
688617.SH,2024/9/30,0.402
002202.SZ,2024/9/30,0.401
600352.SH,2024/9/30,0.397
600885.SH,2024/9/30,0.394
002738.SZ,2024/9/30,0.387
002273.SZ,2024/9/30,0.382
002517.SZ,2024/9/30,0.371
600109.SH,2024/9/30,0.37
002078.SZ,2024/9/30,0.367
300012.SZ,2024/9/30,0.367
600536.SH,2024/9/30,0.366
601567.SH,2024/9/30,0.357
300002.SZ,2024/9/30,0.355
000400.SZ,2024/9/30,0.354
002156.SZ,2024/9/30,0.352
689009.SH,2024/9/30,0.35
600079.SH,2024/9/30,0.349
002185.SZ,2024/9/30,0.347
000783.SZ,2024/9/30,0.347
002532.SZ,2024/9/30,0.346
002797.SZ,2024/9/30,0.346
002966.SZ,2024/9/30,0.344
688099.SH,2024/9/30,0.341
002673.SZ,2024/9/30,0.338
000728.SZ,2024/9/30,0.337
002223.SZ,2024/9/30,0.334
688120.SH,2024/9/30,0.333
300017.SZ,2024/9/30,0.331
601233.SH,2024/9/30,0.331
002138.SZ,2024/9/30,0.33
603606.SH,2024/9/30,0.33
002444.SZ,2024/9/30,0.328
300136.SZ,2024/9/30,0.325
600177.SH,2024/9/30,0.325
300395.SZ,2024/9/30,0.324
002128.SZ,2024/9/30,0.322
601128.SH,2024/9/30,0.321
600298.SH,2024/9/30,0.321
600879.SH,2024/9/30,0.321
600873.SH,2024/9/30,0.316
600839.SH,2024/9/30,0.316
300037.SZ,2024/9/30,0.311
601990.SH,2024/9/30,0.31
601198.SH,2024/9/30,0.308
688122.SH,2024/9/30,0.306
300474.SZ,2024/9/30,0.305
601696.SH,2024/9/30,0.305
600765.SH,2024/9/30,0.304
603596.SH,2024/9/30,0.301
603345.SH,2024/9/30,0.296
600497.SH,2024/9/30,0.296
002353.SZ,2024/9/30,0.293
601577.SH,2024/9/30,0.293
000066.SZ,2024/9/30,0.291
300763.SZ,2024/9/30,0.29
000009.SZ,2024/9/30,0.288
002008.SZ,2024/9/30,0.287
601615.SH,2024/9/30,0.285
000878.SZ,2024/9/30,0.283
000932.SZ,2024/9/30,0.283
600369.SH,2024/9/30,0.282
600985.SH,2024/9/30,0.281
002294.SZ,2024/9/30,0.28
600529.SH,2024/9/30,0.28
603160.SH,2024/9/30,0.279
300699.SZ,2024/9/30,0.278
002739.SZ,2024/9/30,0.276
600155.SH,2024/9/30,0.275
300724.SZ,2024/9/30,0.274
300803.SZ,2024/9/30,0.272
002472.SZ,2024/9/30,0.27
603979.SH,2024/9/30,0.269
600895.SH,2024/9/30,0.268
000750.SZ,2024/9/30,0.268
002432.SZ,2024/9/30,0.268
002595.SZ,2024/9/30,0.268
002465.SZ,2024/9/30,0.268
600763.SH,2024/9/30,0.266
002850.SZ,2024/9/30,0.266
600398.SH,2024/9/30,0.264
000831.SZ,2024/9/30,0.261
002436.SZ,2024/9/30,0.261
600862.SH,2024/9/30,0.26
300054.SZ,2024/9/30,0.26
601179.SH,2024/9/30,0.259
600549.SH,2024/9/30,0.258
601997.SH,2024/9/30,0.257
300866.SZ,2024/9/30,0.257
000683.SZ,2024/9/30,0.255
300073.SZ,2024/9/30,0.255
600060.SH,2024/9/30,0.254
300058.SZ,2024/9/30,0.254
002409.SZ,2024/9/30,0.254
600141.SH,2024/9/30,0.252
000738.SZ,2024/9/30,0.251
688188.SH,2024/9/30,0.251
300003.SZ,2024/9/30,0.251
600521.SH,2024/9/30,0.25
603589.SH,2024/9/30,0.25
301358.SZ,2024/9/30,0.247
688180.SH,2024/9/30,0.247
600699.SH,2024/9/30,0.247
002984.SZ,2024/9/30,0.245
600909.SH,2024/9/30,0.244
603179.SH,2024/9/30,0.243
600642.SH,2024/9/30,0.242
002064.SZ,2024/9/30,0.242
002261.SZ,2024/9/30,0.24
000623.SZ,2024/9/30,0.24
002385.SZ,2024/9/30,0.24
300144.SZ,2024/9/30,0.24
000039.SZ,2024/9/30,0.24
002262.SZ,2024/9/30,0.239
000921.SZ,2024/9/30,0.239
601933.SH,2024/9/30,0.239
002558.SZ,2024/9/30,0.237
300001.SZ,2024/9/30,0.236
601666.SH,2024/9/30,0.236
002195.SZ,2024/9/30,0.234
000960.SZ,2024/9/30,0.233
300285.SZ,2024/9/30,0.232
002281.SZ,2024/9/30,0.232
300529.SZ,2024/9/30,0.23
000729.SZ,2024/9/30,0.23
600704.SH,2024/9/30,0.23
002756.SZ,2024/9/30,0.228
600143.SH,2024/9/30,0.227
600863.SH,2024/9/30,0.227
300114.SZ,2024/9/30,0.227
688525.SH,2024/9/30,0.227
601216.SH,2024/9/30,0.225
000021.SZ,2024/9/30,0.224
603939.SH,2024/9/30,0.224
000703.SZ,2024/9/30,0.224
600153.SH,2024/9/30,0.222
600348.SH,2024/9/30,0.222
601000.SH,2024/9/30,0.222
603816.SH,2024/9/30,0.222
002025.SZ,2024/9/30,0.222
300024.SZ,2024/9/30,0.222
601717.SH,2024/9/30,0.221
300088.SZ,2024/9/30,0.221
600637.SH,2024/9/30,0.22
300146.SZ,2024/9/30,0.22
600486.SH,2024/9/30,0.219
300383.SZ,2024/9/30,0.219
600390.SH,2024/9/30,0.218
601456.SH,2024/9/30,0.218
603338.SH,2024/9/30,0.218
000513.SZ,2024/9/30,0.217
002407.SZ,2024/9/30,0.217
002155.SZ,2024/9/30,0.217
601966.SH,2024/9/30,0.215
600118.SH,2024/9/30,0.215
002939.SZ,2024/9/30,0.215
300373.SZ,2024/9/30,0.214
603087.SH,2024/9/30,0.213
600872.SH,2024/9/30,0.213
000636.SZ,2024/9/30,0.212
600820.SH,2024/9/30,0.211
002152.SZ,2024/9/30,0.211
600535.SH,2024/9/30,0.21
600998.SH,2024/9/30,0.21
300390.SZ,2024/9/30,0.21
600008.SH,2024/9/30,0.209
000830.SZ,2024/9/30,0.209
300487.SZ,2024/9/30,0.208
600754.SH,2024/9/30,0.208
300604.SZ,2024/9/30,0.207
002500.SZ,2024/9/30,0.206
002244.SZ,2024/9/30,0.205
688002.SH,2024/9/30,0.205
000997.SZ,2024/9/30,0.205
600392.SH,2024/9/30,0.204
600516.SH,2024/9/30,0.204
000591.SZ,2024/9/30,0.203
600563.SH,2024/9/30,0.202
002926.SZ,2024/9/30,0.201
300568.SZ,2024/9/30,0.201
600546.SH,2024/9/30,0.201
688065.SH,2024/9/30,0.201
688213.SH,2024/9/30,0.201
000629.SZ,2024/9/30,0.199
600038.SH,2024/9/30,0.198
002044.SZ,2024/9/30,0.197
600021.SH,2024/9/30,0.197
000723.SZ,2024/9/30,0.195
600380.SH,2024/9/30,0.193
002958.SZ,2024/9/30,0.193
300601.SZ,2024/9/30,0.19
600166.SH,2024/9/30,0.19
002624.SZ,2024/9/30,0.189
300251.SZ,2024/9/30,0.189
600170.SH,2024/9/30,0.189
600511.SH,2024/9/30,0.189
300765.SZ,2024/9/30,0.189
605358.SH,2024/9/30,0.188
000060.SZ,2024/9/30,0.188
601155.SH,2024/9/30,0.188
603000.SH,2024/9/30,0.188
600816.SH,2024/9/30,0.187
600859.SH,2024/9/30,0.187
600583.SH,2024/9/30,0.187
002120.SZ,2024/9/30,0.187
603077.SH,2024/9/30,0.187
002065.SZ,2024/9/30,0.186
300253.SZ,2024/9/30,0.185
601016.SH,2024/9/30,0.185
300677.SZ,2024/9/30,0.184
300118.SZ,2024/9/30,0.183
002507.SZ,2024/9/30,0.183
688521.SH,2024/9/30,0.183
002497.SZ,2024/9/30,0.182
601665.SH,2024/9/30,0.182
002439.SZ,2024/9/30,0.182
002414.SZ,2024/9/30,0.182
300567.SZ,2024/9/30,0.182
000893.SZ,2024/9/30,0.181
600655.SH,2024/9/30,0.18
600739.SH,2024/9/30,0.18
002653.SZ,2024/9/30,0.179
600004.SH,2024/9/30,0.179
000519.SZ,2024/9/30,0.178
600498.SH,2024/9/30,0.177
002429.SZ,2024/9/30,0.177
600867.SH,2024/9/30,0.176
600970.SH,2024/9/30,0.176
600325.SH,2024/9/30,0.176
002568.SZ,2024/9/30,0.175
603885.SH,2024/9/30,0.175
000998.SZ,2024/9/30,0.174
603927.SH,2024/9/30,0.173
600282.SH,2024/9/30,0.173
600673.SH,2024/9/30,0.173
688052.SH,2024/9/30,0.172
600131.SH,2024/9/30,0.172
002607.SZ,2024/9/30,0.172
300676.SZ,2024/9/30,0.172
603486.SH,2024/9/30,0.171
601156.SH,2024/9/30,0.17
603156.SH,2024/9/30,0.17
600499.SH,2024/9/30,0.169
600580.SH,2024/9/30,0.169
002430.SZ,2024/9/30,0.169
688772.SH,2024/9/30,0.168
300009.SZ,2024/9/30,0.167
002056.SZ,2024/9/30,0.167
600566.SH,2024/9/30,0.167
601958.SH,2024/9/30,0.167
300558.SZ,2024/9/30,0.167
600435.SH,2024/9/30,0.166
000563.SZ,2024/9/30,0.166
603298.SH,2024/9/30,0.165
